Customer ID,Name,Account Type,Category,Transaction Type,Amount (INR),Date,City,Risk Level
HSBC10001,Anjali Sharma,Credit,Salary,Credit,74708,2024-10-06,Delhi,High
HSBC10002,Shobha Malhotra,Savings,Grocery,Credit,5966,2024-09-15,Surat,Low
HSBC10003,Priya Mishra,Current,Investment,Debit,13534,2024-05-22,Vadodara,Low
HSBC10004,Aarav Joshi,Fixed Deposit,EMI,Credit,14116,2024-06-21,Delhi,Low
HSBC10005,Neha Rao,Savings,EMI,Debit,11891,2024-08-23,Jaipur,Low
HSBC10006,Anjali Rao,Savings,Healthcare,Debit,4242,2024-11-12,Bhopal,Low
HSBC10007,Rekha Tiwari,Current,Insurance,Credit,3786,2024-02-10,Indore,Low
HSBC10008,Manish Singh,Fixed Deposit,Rent,Debit,22093,2024-07-05,Bengaluru,Medium
HSBC10009,Rekha Reddy,Current,Insurance,Debit,3110,2024-11-21,Bengaluru,Low
HSBC10010,Sunil Shah,Current,Shopping,Credit,2620,2024-11-23,Nagpur,Low
HSBC10011,Mala Shah,Credit,Transfer,Credit,3584,2024-06-10,Kolkata,Low
HSBC10012,Meena Gupta,Current,ATM Withdrawal,Debit,4133,2024-06-10,Hyderabad,Low
HSBC10013,Sudha Rao,Fixed Deposit,Utilities,Credit,3402,2024-10-26,Kolkata,Low
HSBC10014,Shobha Rao,Credit,Salary,Debit,36343,2024-09-17,Ahmedabad,Medium
HSBC10015,Neha Patel,Savings,Utilities,Credit,2075,2024-07-16,Kolkata,Low
HSBC10016,Ramesh Chopra,Credit,Online Purchase,Debit,448,2024-01-06,Lucknow,Low
HSBC10017,Anjali Mishra,Credit,Transfer,Credit,3104,2024-01-02,Nagpur,Low
HSBC10018,Ravi Das,Current,Travel,Credit,4913,2024-11-16,Chennai,Low
HSBC10019,Mahesh Agarwal,Current,Utilities,Debit,709,2024-09-28,Bhopal,Low
HSBC10020,Aarav Agarwal,Credit,Travel,Credit,2437,2024-07-04,Bhopal,Low
HSBC10021,Nisha Shah,Savings,Salary,Credit,76419,2024-02-05,Vadodara,High
HSBC10022,Sunil Kumar,Current,Dining,Debit,5426,2024-03-25,Chennai,Low
HSBC10023,Usha Agarwal,Fixed Deposit,Online Purchase,Debit,3627,2024-06-08,Kolkata,Low
HSBC10024,Rekha Chopra,Fixed Deposit,Utilities,Credit,323,2024-06-22,Mumbai,Low
HSBC10025,Shobha Mishra,Current,Education,Credit,3272,2024-02-04,Bhopal,Low
HSBC10026,Rahul Nair,Savings,Travel,Credit,2659,2024-09-05,Hyderabad,Low
HSBC10027,Sunil Kumar,Fixed Deposit,Salary,Credit,49429,2024-12-03,Kolkata,Medium
HSBC10028,Amit Malhotra,Fixed Deposit,Shopping,Debit,4114,2024-12-10,Lucknow,Low
HSBC10029,Arjun Patel,Fixed Deposit,Investment,Debit,31053,2024-10-01,Ahmedabad,Medium
HSBC10030,Rohit Malhotra,Current,Rent,Credit,20067,2024-02-08,Ahmedabad,Medium
HSBC10031,Mala Singh,Savings,Dining,Debit,4601,2024-05-01,Bengaluru,Low
HSBC10032,Vijay Bose,Fixed Deposit,Salary,Credit,55615,2024-01-31,Bengaluru,High
HSBC10033,Dinesh Sharma,Fixed Deposit,Rent,Debit,12964,2024-10-11,Lucknow,Low
HSBC10034,Sudha Kumar,Current,Rent,Debit,19463,2024-10-23,Nagpur,Medium
HSBC10035,Sunil Patel,Credit,Grocery,Debit,1392,2024-03-21,Mumbai,Low
